scope,anchor,outcome,outcome_label,family,modifier,modifier_label,modifier_type,paper_role,subset,fe,controls,term,b,se,p,N,clusters,mean_y,status,abs_t,expected,direction_ok
adjacent,completed_t,rentin_and_farm_any,Rent-in and own-farm production,rent-in,bottom_farmdep,Bottom tercile baseline farm-dependence,binary_bottom,exit-side low farm-dependence check,all,provyear,none,bottom group DID,-0.27782085025960357,0.08830277491403665,0.001653898193213745,2732,133,0.1099450884685784,ok,3.146230121647525,-1.0,1.0
adjacent,completed_t,any_rentin,Any rented-in land,rent-in,bottom_farmdep,Bottom tercile baseline farm-dependence,binary_bottom,exit-side low farm-dependence check,all,provyear,none,bottom group DID,-0.2674175449989169,0.09632389548588036,0.00549928394347722,2734,133,0.1260217152616811,ok,2.7762326642833535,-1.0,1.0
adjacent,completed_t,asinh_rentin,asinh rented-in area,rent-in,bottom_farmdep,Bottom tercile baseline farm-dependence,binary_bottom,exit-side low farm-dependence check,all,provyear,none,bottom group DID,-0.3941583165062097,0.15854459780407154,0.012915031342918933,2728,133,0.26419062794158865,ok,2.4861037333691316,-1.0,1.0
adjacent,completed_t,rentin_and_farm_any,Rent-in and own-farm production,rent-in,farm_orientation_top_tercile,Top tercile pre-specified farm-orientation index,binary_top,pre-specified index top-third split,all,stackyear,none,top-minus-rest differential,0.13265616734427302,0.05729472225884752,0.020594900104265037,2820,136,0.1099450884685784,ok,2.3153296170100224,1.0,1.0
adjacent,completed_t,any_rentin,Any rented-in land,rent-in,farm_orientation_top_tercile,Top tercile pre-specified farm-orientation index,binary_top,pre-specified index top-third split,all,stackyear,none,top-minus-rest differential,0.14134639121547143,0.06562414315419549,0.031249749031464054,2822,136,0.1260217152616811,ok,2.1538778934355483,1.0,1.0
adjacent,completed_t,asinh_rentin,asinh rented-in area,rent-in,bottom_farmdep,Bottom tercile baseline farm-dependence,binary_bottom,exit-side low farm-dependence check,all,stackyear,none,bottom-minus-rest differential,-0.3820517392282122,0.1789044069152116,0.032719561585088854,2734,135,0.26419062794158865,ok,2.1355077038950667,-1.0,1.0
adjacent,completed_t,asinh_rentin,asinh rented-in area,rent-in,farmdep_top_vs_bottom,Top versus bottom tercile baseline farm-dependence,binary_top_bottom,clean top-minus-bottom contrast,top_bottom_farmdep,stackyear,none,top-minus-bottom differential,0.37078731592022224,0.1836232753819625,0.04345783780380303,1852,129,0.28184885014866345,ok,2.019282768749942,1.0,1.0
adjacent,completed_t,asinh_rentin,asinh rented-in area,rent-in,bottom_farmdep,Bottom tercile baseline farm-dependence,binary_bottom,exit-side low farm-dependence check,all,stackyear,none,bottom group DID,-0.35119753621704414,0.17665037652773982,0.04680130576345685,2734,135,0.26419062794158865,ok,1.988093901186193,-1.0,1.0
adjacent,completed_t,asinh_rentin,asinh rented-in area,rent-in,bottom_farmdep,Bottom tercile baseline farm-dependence,binary_bottom,exit-side low farm-dependence check,all,provyear,none,bottom-minus-rest differential,-0.32685579754507865,0.1645890234975628,0.04704547074022075,2728,133,0.26419062794158865,ok,1.9858906177295514,-1.0,1.0
adjacent,completed_t,rentin_mu,Rented-in area (mu),rent-in,bottom_farmdep,Bottom tercile baseline farm-dependence,binary_bottom,exit-side low farm-dependence check,all,provyear,none,bottom group DID,-0.7608881475252274,0.3900723301238215,0.051100661321724875,2728,133,1.0745384521335126,ok,1.9506334819588385,-1.0,1.0
adjacent,completed_t,asinh_rentin,asinh rented-in area,rent-in,farmdep_ordered_tercile,Ordered tercile score of baseline farm-dependence,continuous,ordered farm-dependence gradient,all,stackyear,none,heterogeneity slope,0.14012318929363798,0.07329017338683617,0.055889534929516003,2734,135,0.26419062794158865,ok,1.911895999400185,1.0,1.0
adjacent,completed_t,any_rentin,Any rented-in land,rent-in,bottom_farmdep,Bottom tercile baseline farm-dependence,binary_bottom,exit-side low farm-dependence check,all,stackyear,none,bottom-minus-rest differential,-0.2053722832497118,0.10771320234426285,0.0565648358144528,2740,135,0.1260217152616811,ok,1.906658411225396,-1.0,1.0
adjacent,completed_t,asinh_rentin,asinh rented-in area,rent-in,farm_orientation_top_tercile,Top tercile pre-specified farm-orientation index,binary_top,pre-specified index top-third split,all,stackyear,none,top-minus-rest differential,0.23222523962226405,0.12473901121940466,0.06264694613184009,2816,136,0.26419062794158865,ok,1.8616889564227892,1.0,1.0
adjacent,completed_t,rentin_and_farm_any,Rent-in and own-farm production,rent-in,farmdep_ordered_tercile,Ordered tercile score of baseline farm-dependence,continuous,ordered farm-dependence gradient,all,stackyear,none,heterogeneity slope,0.07932116815741046,0.04284103691177097,0.06409433904952179,2738,135,0.1099450884685784,ok,1.8515230693591413,1.0,1.0
adjacent,completed_t,rentin_and_farm_any,Rent-in and own-farm production,rent-in,farmdep_top_vs_bottom,Top versus bottom tercile baseline farm-dependence,binary_top_bottom,clean top-minus-bottom contrast,top_bottom_farmdep,stackyear,none,top-minus-bottom differential,0.2010244192766759,0.10942158157899239,0.06618699837055612,1854,129,0.12372122762148338,ok,1.837155124024182,1.0,1.0
adjacent,completed_t,rentin_and_farm_any,Rent-in and own-farm production,rent-in,bottom_farmdep,Bottom tercile baseline farm-dependence,binary_bottom,exit-side low farm-dependence check,all,stackyear,none,bottom group DID,-0.19063242243144396,0.10390118212640001,0.0665431274434797,2738,135,0.1099450884685784,ok,1.834747387181138,-1.0,1.0
adjacent,completed_t,any_rentin,Any rented-in land,rent-in,farmdep_top_vs_bottom,Top versus bottom tercile baseline farm-dependence,binary_top_bottom,clean top-minus-bottom contrast,top_bottom_farmdep,stackyear,none,top-minus-bottom differential,0.19967104851745124,0.10992134929843059,0.06929521721364112,1854,129,0.13966123362096516,ok,1.816490152202872,1.0,1.0
adjacent,completed_t,rentin_and_farm_any,Rent-in and own-farm production,rent-in,bottom_farmdep,Bottom tercile baseline farm-dependence,binary_bottom,exit-side low farm-dependence check,all,stackyear,none,bottom-minus-rest differential,-0.19210328772519245,0.10633293696711567,0.07082143573827096,2738,135,0.1099450884685784,ok,1.8066207254728792,-1.0,1.0
adjacent,completed_t,any_rentin,Any rented-in land,rent-in,bottom_farmdep,Bottom tercile baseline farm-dependence,binary_bottom,exit-side low farm-dependence check,all,stackyear,none,bottom group DID,-0.18684889772934957,0.10571113733107124,0.0771374658232894,2740,135,0.1260217152616811,ok,1.7675422140636627,-1.0,1.0
adjacent,completed_t,rentin_and_farm_any,Rent-in and own-farm production,rent-in,farmdep_continuous,"Baseline farm-dependence, continuous winsorized z",continuous,continuous farm-dependence interaction,all,stackyear,none,heterogeneity slope,0.05827909218327078,0.03313830883875585,0.07863489596623381,2738,135,0.1099450884685784,ok,1.7586622318853016,1.0,1.0
adjacent,completed_t,any_rentin,Any rented-in land,rent-in,farmdep_ordered_tercile,Ordered tercile score of baseline farm-dependence,continuous,ordered farm-dependence gradient,all,stackyear,none,heterogeneity slope,0.0755831279252418,0.043613858770798514,0.08309440270496109,2740,135,0.1260217152616811,ok,1.7330071233194386,1.0,1.0
adjacent,completed_t,asinh_rentin,asinh rented-in area,rent-in,farm_orientation_continuous,"Pre-specified farm-orientation index, continuous z",continuous,pre-specified index interaction,all,stackyear,none,heterogeneity slope,0.18364939619914877,0.10733570559229073,0.08708454583855292,2816,136,0.26419062794158865,ok,1.7109814034924384,1.0,1.0
adjacent,completed_t,any_rentin,Any rented-in land,rent-in,bottom_farmdep,Bottom tercile baseline farm-dependence,binary_bottom,exit-side low farm-dependence check,all,provyear,none,bottom-minus-rest differential,-0.16696039597209147,0.0986446764138203,0.09054241251012878,2734,133,0.1260217152616811,ok,1.6925433996223238,-1.0,1.0
adjacent,completed_t,rentin_mu,Rented-in area (mu),rent-in,bottom_farmdep,Bottom tercile baseline farm-dependence,binary_bottom,exit-side low farm-dependence check,all,stackyear,none,bottom group DID,-1.0363491737689456,0.6255741075807858,0.09759289975750166,2734,135,1.0745384521335126,ok,1.656636937511217,-1.0,1.0
adjacent,completed_t,rentin_mu,Rented-in area (mu),rent-in,farm_orientation_continuous,"Pre-specified farm-orientation index, continuous z",continuous,pre-specified index interaction,all,provyear,none,heterogeneity slope,5.9075839304248055,3.653068769830417,0.10584450201434686,2810,134,1.0745384521335126,ok,1.6171565066646822,1.0,1.0
adjacent,completed_t,rentin_and_farm_any,Rent-in and own-farm production,rent-in,farm_orientation_top_tercile,Top tercile pre-specified farm-orientation index,binary_top,pre-specified index top-third split,all,provyear,none,top-minus-rest differential,0.08322434910574772,0.05369975699997545,0.12118744487562957,2814,134,0.1099450884685784,ok,1.5498086724263158,1.0,1.0
adjacent,completed_t,rentin_and_farm_any,Rent-in and own-farm production,rent-in,bottom_farmdep,Bottom tercile baseline farm-dependence,binary_bottom,exit-side low farm-dependence check,all,provyear,none,bottom-minus-rest differential,-0.14440029625836637,0.09418180800055709,0.1252246274250495,2732,133,0.1099450884685784,ok,1.5332079445481896,-1.0,1.0
adjacent,completed_t,rentin_and_farm_any,Rent-in and own-farm production,rent-in,farm_orientation_continuous,"Pre-specified farm-orientation index, continuous z",continuous,pre-specified index interaction,all,stackyear,none,heterogeneity slope,0.07321263444407562,0.04811832603337193,0.1281312773812777,2820,136,0.1099450884685784,ok,1.5215124980303723,1.0,1.0
adjacent,completed_t,any_rentin,Any rented-in land,rent-in,farm_orientation_top_tercile,Top tercile pre-specified farm-orientation index,binary_top,pre-specified index top-third split,all,provyear,none,top-minus-rest differential,0.09573317108000373,0.06294318320112753,0.1282734354360208,2816,134,0.1260217152616811,ok,1.5209458151186865,1.0,1.0
adjacent,completed_t,asinh_rentin,asinh rented-in area,rent-in,farm_orientation_continuous,"Pre-specified farm-orientation index, continuous z",continuous,pre-specified index interaction,all,provyear,none,heterogeneity slope,0.13207309596110853,0.08819405443630111,0.13425583705913285,2810,134,0.26419062794158865,ok,1.4975283402635653,1.0,1.0
adjacent,completed_t,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,farmdep_top_vs_bottom,Top versus bottom tercile baseline farm-dependence,binary_top_bottom,clean top-minus-bottom contrast,top_bottom_farmdep,stackyear,none,top-minus-bottom differential,-0.31839884138021324,0.16636620758613943,0.05564018895206318,1944,131,0.594108527131783,ok,1.91384323775822,-1.0,1.0
adjacent,completed_t,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,farmdep_ordered_tercile,Ordered tercile score of baseline farm-dependence,continuous,ordered farm-dependence gradient,all,stackyear,none,heterogeneity slope,-0.11189884583889187,0.06717833483779564,0.09577349791242686,2884,137,0.5472235405790223,ok,1.6656984146611464,-1.0,1.0
adjacent,completed_t,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,bottom_farmdep,Bottom tercile baseline farm-dependence,binary_bottom,exit-side low farm-dependence check,all,stackyear,none,bottom-minus-rest differential,0.3059263266077731,0.1967359537750972,0.11994374688689625,2884,137,0.5472235405790223,ok,1.5550097515856158,1.0,1.0
adjacent,completed_t,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,bottom_farmdep,Bottom tercile baseline farm-dependence,binary_bottom,exit-side low farm-dependence check,all,stackyear,none,bottom-minus-rest differential,0.10921892035255465,0.08912481489093105,0.22040184792909145,2884,137,0.12482202183198861,ok,1.225460277098071,1.0,1.0
adjacent,completed_t,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,farmdep_top_tercile,Top tercile baseline farm-dependence,binary_top,top-third split,all,stackyear,none,top-minus-rest differential,-0.13261998572897565,0.14103289374266115,0.34703913615906123,2884,137,0.5472235405790223,ok,0.9403479018941758,-1.0,1.0
adjacent,completed_t,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,farmdep_top_vs_bottom,Top versus bottom tercile baseline farm-dependence,binary_top_bottom,clean top-minus-bottom contrast,top_bottom_farmdep,stackyear,none,top-minus-bottom differential,-0.06552339652450336,0.07334119635703812,0.3716402895840961,1944,131,0.14821705426356588,ok,0.8934050680810235,-1.0,1.0
adjacent,completed_t,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,farmdep_continuous,"Baseline farm-dependence, continuous winsorized z",continuous,continuous farm-dependence interaction,all,stackyear,none,heterogeneity slope,-0.01907522767358906,0.02168977118939395,0.3791533738649222,2740,135,0.11504208856898865,ok,0.8794573030312385,-1.0,1.0
adjacent,completed_t,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,bottom_farmdep,Bottom tercile baseline farm-dependence,binary_bottom,exit-side low farm-dependence check,all,stackyear,none,bottom-minus-rest differential,0.05053328116535782,0.06422390975709276,0.431381551028894,2740,135,0.11504208856898865,ok,0.7868297236416227,1.0,1.0
adjacent,completed_t,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,farmdep_top_vs_bottom,Top versus bottom tercile baseline farm-dependence,binary_top_bottom,clean top-minus-bottom contrast,top_bottom_farmdep,stackyear,none,top-minus-bottom differential,-0.044142611616198764,0.0650088012592402,0.4971219208886255,1854,129,0.13902205177372962,ok,0.6790251590729715,-1.0,1.0
adjacent,completed_t,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,farmdep_continuous,"Baseline farm-dependence, continuous winsorized z",continuous,continuous farm-dependence interaction,all,stackyear,none,heterogeneity slope,-0.048364198096365316,0.07223891087401191,0.5031743979743419,2884,137,0.5472235405790223,ok,0.6695034228951039,-1.0,1.0
adjacent,completed_t,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,nonfarm_orientation_top,Top tercile baseline nonfarm orientation,binary_top,exit-side nonfarm orientation check,all,stackyear,none,top-minus-rest differential,0.034829761970710804,0.056410890266462926,0.536951303097864,2824,136,0.11504208856898865,ok,0.6174297517055424,1.0,1.0
adjacent,completed_t,ib_nonfarm_curr_shr,Current nonfarm worker share,nonfarm,farmdep_top_tercile,Top tercile baseline farm-dependence,binary_top,top-third split,all,stackyear,none,top-minus-rest differential,-0.03474551760779548,0.061139615145523594,0.5698326745890734,2766,137,0.33371413420972895,ok,0.5682979443867077,-1.0,1.0
adjacent,completed_t,nonfarm_ge2_no_rentin,>=2 nonfarm workers without rent-in,nonfarm,farmdep_ordered_tercile,Ordered tercile score of baseline farm-dependence,continuous,ordered farm-dependence gradient,all,stackyear,none,heterogeneity slope,-0.01438684709471715,0.025770987272197957,0.5766685573086108,2740,135,0.11504208856898865,ok,0.5582575065037516,-1.0,1.0
adjacent,completed_t,ib_nonfarm_curr_shr,Current nonfarm worker share,nonfarm,farmdep_ordered_tercile,Ordered tercile score of baseline farm-dependence,continuous,ordered farm-dependence gradient,all,stackyear,none,heterogeneity slope,-0.01650920773869006,0.03833653666623516,0.6667308805129535,2766,137,0.33371413420972895,ok,0.430638998050925,-1.0,1.0
adjacent,completed_t,ib_nonfarm_curr_shr,Current nonfarm worker share,nonfarm,farmdep_top_vs_bottom,Top versus bottom tercile baseline farm-dependence,binary_top_bottom,clean top-minus-bottom contrast,top_bottom_farmdep,stackyear,none,top-minus-bottom differential,-0.04371428740823077,0.10219165911446093,0.6688202806210001,1854,131,0.3413151495929802,ok,0.4277676650622541,-1.0,1.0
adjacent,completed_t,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,bottom_farmdep,Bottom tercile baseline farm-dependence,binary_bottom,exit-side low farm-dependence check,all,provyear,none,bottom-minus-rest differential,0.08378528864618655,0.20622950502229523,0.6845427022446232,2880,136,0.5472235405790223,ok,0.4062720736158903,1.0,1.0
adjacent,completed_t,ib_nonfarm_curr_ge2,At least two current nonfarm workers,nonfarm,farmdep_ordered_tercile,Ordered tercile score of baseline farm-dependence,continuous,ordered farm-dependence gradient,all,stackyear,none,heterogeneity slope,-0.01178014932916536,0.03007481932693227,0.6952837575220554,2884,137,0.12482202183198861,ok,0.3916947663461483,-1.0,1.0
adjacent,completed_t,ib_nonfarm_curr_n,Current nonfarm workers,nonfarm,farmdep_top_vs_bottom,Top versus bottom tercile baseline farm-dependence,binary_top_bottom,clean top-minus-bottom contrast,top_bottom_farmdep,provyear,none,top-minus-bottom differential,-0.0563980367644005,0.14595455220328704,0.6991943732203367,1940,130,0.594108527131783,ok,0.3864082066165961,-1.0,1.0
